记录日期,订单号,订单号查重,客户订单总数,物流状态,是否收到退货/退货单据,是否退运费,是否退运费险,退款原因分类,具体操作要求,最终退款金额（美元）,退款日期,创建人,备注,父记录
2025/08/19,Test123,,1,已发货,是,不退运费,不退运费险,物流问题,"3件退40%
LWS-PT21BK-M
LWS-PT21TBL-M
LWS-MDD41GY-M",355.32,,徐正添,,
2025/08/19,Test234,,,未发货,否,退运费,退运费险,订单异常/取消/修改订单,"5件退全款
LWS-MXD31KH-M
LWS-MXD81DSG-M
LWS-PT9NBL-M
MXD30-LightLilac-M
MXD29-IceBlueStripe-M",120.69,,徐正添,,
2025/08/19,Test344,,,已发货,是,不退运费,不退运费险,产品问题,"3件退40%
LWS-MXD31KH-M
LWS-MXD81DSG-M X2",12,2025/11/10,高慧慧,,
2025/08/19,Test562,,,已发货,是,退运费,退运费险,瑕疵问题,"1件退全款
LWS-PT21BK-M",,,高慧慧,,
2025/11/10,Test6231,,,已发货,是,退运费,退运费险,错漏发,1件全退,,,徐正添,,
2025/11/11,LC8109337,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
LWS-SHT42LPK-S
ACC-home08-10
",93.99,2025/11/12,高慧慧,,
2025/11/11,LC856491,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
LWS-SHT111GGY-M
MXD39-SageApple-M",170.82,2025/11/12,高慧慧,,
2025/11/11,LC8108718,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,126.9,2025/11/12,高慧慧,,
2025/11/11,LC8108905,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,85.4,2025/11/12,陈楚文,,
2025/11/11,LC8108957,,,已发货,否,不退运费,不退运费险,产品问题,"2件退40%：
PT54-Black-S
MXD57-NavyBlue-L",57.92,2025/11/12,陈楚文,,
2025/11/11,LC8110551,,,未发货且标记取消,否,不退运费,不退运费险,订单异常/取消/修改订单,"1件退全款
OT53-AquaBlue-XL",1.21,2025/11/12,高慧慧,,
2025/11/11,LC8108461,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,126.9,2025/11/12,高慧慧,,
